AnoMes,PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,FORMAINICIACAO,NATUREZA,FINALIDADE,VALOR,QUANTIDADE
202503,PF,PF,NORDESTE,SUDESTE,até 19 anos,entre 20 e 29 anos,MANU,P2P,Pix,6047368.7,80854
202406,PF,PF,SUDESTE,NORDESTE,entre 20 e 29 anos,entre 20 e 29 anos,QRES,P2P,Pix,7392292.67,200832
202304,PF,PF,Nao informado,SUDESTE,entre 20 e 29 anos,entre 20 e 29 anos,MANU,P2P,Pix,342437.34,1259
202304,PF,PF,NORTE,SUL,entre 20 e 29 anos,entre 40 e 49 anos,QRES,P2P,Pix,308753.42,10083
202412,PF,PJ,NORDESTE,SUL,entre 40 e 49 anos,Nao se aplica,QRES,P2G,Pix,10801.97,110
202309,PJ,PF,NORTE,SUDESTE,Nao se aplica,até 19 anos,QRES,B2P,Pix,15948.99,127
202506,PF,PF,SUL,NORTE,até 19 anos,até 19 anos,QRDN,P2P,Pix,6082.74,314
202504,PF,PF,SUDESTE,NORDESTE,entre 20 e 29 anos,entre 20 e 29 anos,DICT,P2P,Pix,270526875.71,1965748
202308,PF,PF,NORDESTE,Nao informado,entre 40 e 49 anos,entre 30 e 39 anos,Nao disponivel,P2P,Nao disponivel,355.33,10
202501,PF,PF,NORDESTE,Nao informado,entre 20 e 29 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,7734.0,12
202508,PJ,PF,SUDESTE,CENTRO-OESTE,Nao se aplica,entre 40 e 49 anos,DICT,G2P,Pix,163380.79,85
202501,PJ,PF,NORDESTE,CENTRO-OESTE,Nao se aplica,Nao informado,DICT,B2P,Pix,40.0,1
202502,PF,PF,CENTRO-OESTE,SUDESTE,entre 20 e 29 anos,entre 30 e 39 anos,MANU,P2P,Pix,9113391.15,54163
202406,PF,PF,SUDESTE,NORDESTE,mais de 60 anos,entre 40 e 49 anos,QRES,P2P,Pix,1755905.46,24934
202402,PF,PF,NORDESTE,NORDESTE,entre 30 e 39 anos,até 19 anos,QRDN,P2P,Pix,1927687.74,60407
202402,PF,PF,SUDESTE,NORDESTE,entre 30 e 39 anos,mais de 60 anos,MANU,P2P,Pix,19590037.0,53972
202406,PF,PJ,SUDESTE,SUL,entre 30 e 39 anos,Nao se aplica,Nao disponivel,P2G,Nao disponivel,600.0,1
202401,PF,PJ,NORDESTE,CENTRO-OESTE,entre 30 e 39 anos,Nao se aplica,DICT,P2G,Pix,4864.86,41
202303,PF,PF,SUL,NORTE,entre 50 e 59 anos,entre 30 e 39 anos,Nao disponivel,P2P,Nao disponivel,4711.09,49
202401,PJ,PF,NORDESTE,Nao informado,Nao se aplica,entre 40 e 49 anos,MANU,G2P,Pix,10999.61,1
202304,PF,PF,SUL,SUL,mais de 60 anos,entre 30 e 39 anos,DICT,P2P,Pix,793659238.16,1715071
202403,PF,PF,SUDESTE,SUL,até 19 anos,até 19 anos,MANU,P2P,Pix,305924.69,9558
202303,PF,PF,NORTE,SUDESTE,entre 40 e 49 anos,até 19 anos,DICT,P2P,Pix,1889792.96,19193
202406,PF,PJ,SUL,CENTRO-OESTE,mais de 60 anos,Nao se aplica,DICT,P2B,Pix,52787356.78,22017
202403,PF,PF,Nao informado,NORDESTE,mais de 60 anos,até 19 anos,MANU,P2P,Pix,4893.91,31
202503,PF,PF,NORDESTE,SUDESTE,mais de 60 anos,entre 50 e 59 anos,MANU,P2P,Pix,7116160.89,22809
202304,PF,PF,Nao informado,SUDESTE,até 19 anos,até 19 anos,Nao disponivel,P2P,Nao disponivel,90.0,3
202404,PF,PF,Nao informado,NORTE,até 19 anos,entre 20 e 29 anos,QRES,P2P,Pix,1760.1,50
202303,PF,PF,SUDESTE,NORDESTE,entre 30 e 39 anos,entre 40 e 49 anos,DICT,P2P,Pix,191990975.46,952090
202303,PF,PJ,SUL,SUL,entre 50 e 59 anos,Nao se aplica,QRDN,P2G,Pix,61030552.62,173404
202411,PF,PJ,SUDESTE,CENTRO-OESTE,entre 30 e 39 anos,Nao se aplica,MANU,P2B,Pix Saque,940.0,1
202503,PF,PJ,Nao informado,CENTRO-OESTE,entre 40 e 49 anos,Nao se aplica,Nao disponivel,P2B,Nao disponivel,0.05,1
202407,PF,PF,NORDESTE,NORTE,entre 40 e 49 anos,mais de 60 anos,DICT,P2P,Pix,16988966.08,45585
202507,PF,PJ,SUDESTE,NORDESTE,entre 40 e 49 anos,Nao se aplica,MANU,P2G,Pix,21528.45,28
202308,PF,PF,CENTRO-OESTE,Nao informado,entre 30 e 39 anos,entre 40 e 49 anos,Nao disponivel,P2P,Nao disponivel,2310.0,7
202412,PJ,PJ,NORTE,Nao informado,Nao se aplica,Nao se aplica,QRES,B2B,Pix,65.0,2
202407,PF,PF,Nao informado,CENTRO-OESTE,entre 50 e 59 anos,entre 20 e 29 anos,MANU,P2P,Pix,68895.08,181
202505,PF,PF,NORTE,NORDESTE,até 19 anos,entre 40 e 49 anos,Nao disponivel,P2P,Nao disponivel,32182.68,584
202505,PF,PF,SUL,SUL,entre 20 e 29 anos,entre 20 e 29 anos,MANU,P2P,Pix,2292612997.4,9243222
202311,PF,PF,Nao informado,NORTE,Nao informado,entre 50 e 59 anos,DICT,P2P,Pix,622.75,20
202311,PJ,PF,NORDESTE,SUL,Nao se aplica,entre 20 e 29 anos,DICT,B2P,Pix,71376063.99,338113
202307,PJ,PF,SUDESTE,CENTRO-OESTE,Nao se aplica,mais de 60 anos,DICT,G2P,Pix,6130.87,10
202307,PJ,PF,SUDESTE,SUL,Nao se aplica,entre 40 e 49 anos,Nao disponivel,G2P,Nao disponivel,2222.0,12
202411,PF,PJ,NORTE,SUDESTE,entre 50 e 59 anos,Nao se aplica,INIC,P2B,Pix,1664.02,143
202405,PF,PJ,SUL,SUDESTE,entre 30 e 39 anos,Nao se aplica,QRDN,P2B,Pix Saque,185642.17,1652
202303,PF,PJ,NORDESTE,NORDESTE,entre 40 e 49 anos,Nao se aplica,QRDN,P2B,Pix Troco,108719.01,240
202508,PF,PF,SUDESTE,CENTRO-OESTE,mais de 60 anos,entre 30 e 39 anos,QRDN,P2P,Pix,242026.65,4514
