AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202409,3138302,LEANDRO FERREIRA,31,MINAS GERAIS,SE,SUDESTE,13988905.38,43423,2031801.23,1703,13138854.07,32246,1834907.94,3895,1661,113,1667,100
202307,3157807,SANTA LUZIA,31,MINAS GERAIS,SE,SUDESTE,556222338.6,3453129,392467081.84,197578,591461603.41,2640707,372264726.4,455483,136548,7568,138654,7079
202502,3541000,PRAIA GRANDE,35,SÃO PAULO,SE,SUDESTE,1549638591.65,8080641,730597560.95,706521,1604489123.62,5173276,660137217.01,1703102,240318,22056,236259,19998
202506,3202256,GOVERNADOR LINDENBERG,32,ESPÍRITO SANTO,SE,SUDESTE,80107719.2,179955,349910832.61,11685,69709051.73,90854,219841707.39,34012,5211,313,4962,310
202406,4302402,BOM RETIRO DO SUL,43,RIO GRANDE DO SUL,SU,SUL,30143890.32,164080,14891943.42,10557,26277266.73,86577,19944026.27,41150,7083,528,6549,505
202401,1506203,SALINÓPOLIS,15,PARÁ,NO,NORTE,98189664.93,885300,58464066.21,53676,101713810.28,671211,53677909.83,148788,24387,1405,24741,1256
202402,4203154,CALMON,42,SANTA CATARINA,SU,SUL,4325027.95,29871,2789463.44,1764,4153774.81,14742,1633003.28,3256,1500,79,1502,69
202308,1707009,DIANÓPOLIS,17,TOCANTINS,NO,NORTE,63204553.35,332487,24147898.04,19142,55814348.92,206085,27191597.42,61714,11268,657,11434,628
202403,2903300,BARRO PRETO,29,BAHIA,NE,NORDESTE,11474502.2,100818,1074557.04,1795,11004851.96,67571,520636.21,2883,3126,64,3203,64
202403,3533106,NOVA GUATAPORANGA,35,SÃO PAULO,SE,SUDESTE,4014618.15,26042,799366.85,1147,4042012.38,14072,831221.36,2592,1041,52,993,49
202308,3203809,MUQUI,32,ESPÍRITO SANTO,SE,SUDESTE,22510409.26,128745,10431849.1,8235,21137402.03,84029,14596596.7,27075,6654,352,6453,360
202312,2407104,MACAÍBA,24,RIO GRANDE DO NORTE,NE,NORDESTE,166241571.32,1417679,79270438.51,51001,166250633.4,1037732,84194891.55,151107,39273,1450,39257,1324
202409,3155306,RIO MANSO,31,MINAS GERAIS,SE,SUDESTE,11552703.4,50891,4964862.9,4603,11588741.01,31814,5823123.89,15571,2414,245,2323,237
202306,2902807,BARRA DA ESTIVA,29,BAHIA,NE,NORDESTE,52671360.02,209132,12436617.78,12359,53946660.48,155639,14535794.51,44492,10063,532,10007,483
202509,2709152,TEOTÔNIO VILELA,27,ALAGOAS,NE,NORDESTE,19204748.28,128617,11695732.3,5050,18024627.22,75042,9895437.14,18707,18737,549,15978,487
202308,2914307,IRAMAIA,29,BAHIA,NE,NORDESTE,15340876.18,102692,1955409.41,1908,14020702.84,73714,2700625.01,6972,4607,119,4474,100
202501,2504850,COXIXOLA,25,PARAÍBA,NE,NORDESTE,2967592.0,19692,369884.03,421,2556482.55,12166,222913.65,1420,856,28,808,19
202505,3302858,MESQUITA,33,RIO DE JANEIRO,SE,SUDESTE,652777712.51,5290713,156134672.47,178733,634834184.73,3434880,136627149.51,583262,110997,5165,110468,4866
202406,2927309,SALINAS DA MARGARIDA,29,BAHIA,NE,NORDESTE,40565910.0,372586,4736345.54,7027,38475396.04,258440,3380177.2,24120,9516,238,9621,210
202407,2310902,PIQUET CARNEIRO,23,CEARÁ,NE,NORDESTE,26094996.58,170703,4546873.73,4266,24747891.47,142594,5303433.93,18899,6003,159,5764,145
202306,3104403,ARGIRITA,31,MINAS GERAIS,SE,SUDESTE,3417234.56,16460,5849115.5,882,3382766.45,11822,1504216.96,2025,1157,64,1090,68
202509,4300646,AMETISTA DO SUL,43,RIO GRANDE DO SUL,SU,SUL,2993699.25,12933,2962745.38,1607,3170562.49,6484,3259392.33,3894,2574,364,1916,358
202411,3205309,VITÓRIA,32,ESPÍRITO SANTO,SE,SUDESTE,2230499938.32,8946288,7597617877.47,1782165,2228990109.16,5248510,6919887233.95,4120764,258617,32492,249727,29147
202306,2901106,AMÉLIA RODRIGUES,29,BAHIA,NE,NORDESTE,51136534.5,421895,17200993.15,11019,50735389.7,324835,18984948.36,26523,13167,381,13557,348
202305,3536257,PARISI,35,SÃO PAULO,SE,SUDESTE,5453425.24,16691,3564529.5,1392,4813121.83,12739,2676805.55,2635,1046,70,1037,59
202507,1100049,CACOAL,11,RONDÔNIA,NO,NORTE,553214374.23,2047684,398676422.55,214753,551922005.34,1149234,397003312.89,632372,62128,5624,61038,5369
202407,2111029,SÃO JOÃO DO CARÚ,21,MARANHÃO,NE,NORDESTE,29001002.95,217995,2399880.46,2557,28621213.59,143709,2895268.75,8294,6394,100,6048,105
202309,2500304,ALAGOA GRANDE,25,PARAÍBA,NE,NORDESTE,37999306.6,284662,5362028.54,4594,36769283.83,207850,6159621.79,22645,11593,248,11682,233
202412,2922300,MURITIBA,29,BAHIA,NE,NORDESTE,90318300.72,629327,22990138.77,18815,86761877.5,434961,21633986.25,61738,15778,564,15801,510
202503,3153608,PRUDENTE DE MORAIS,31,MINAS GERAIS,SE,SUDESTE,35153022.8,268413,64286178.9,14981,34147235.14,153107,27353397.26,26936,6833,494,6813,447
202307,2605103,CUSTÓDIA,26,PERNAMBUCO,NE,NORDESTE,58400000.93,315405,39342820.95,15064,57348900.41,229457,36255577.2,47717,13788,544,14448,506
202305,5200050,ABADIA DE GOIÁS,52,GOIÁS,CO,CENTRO-OESTE,32985504.22,144556,41375003.73,21251,36345740.5,121223,28329272.16,38590,5728,615,5905,563
202309,5106265,NOVO MUNDO,51,MATO GROSSO,CO,CENTRO-OESTE,22043312.94,56757,5633905.53,4136,23985441.86,31611,6784747.71,11737,3183,184,2915,183
202307,3556453,VARGEM GRANDE PAULISTA,35,SÃO PAULO,SE,SUDESTE,186832127.78,769287,164332606.57,74085,201828195.21,530425,145583009.79,123870,35501,2950,35456,2779
202307,2802106,ESTÂNCIA,28,SERGIPE,NE,NORDESTE,137271660.58,978479,102457917.81,41106,134823671.54,680739,100884339.96,137131,34728,1399,36256,1361
202503,2612505,SANTA CRUZ DO CAPIBARIBE,26,PERNAMBUCO,NE,NORDESTE,585808844.01,2599840,185898163.7,136503,585691256.37,1858642,248853174.96,672539,61288,3939,60184,3790
202410,1506583,SANTA MARIA DAS BARREIRAS,15,PARÁ,NO,NORTE,48774931.61,204085,24503534.04,15598,45871528.39,121363,26779206.03,62722,5967,489,5828,438
202305,5006358,PARANHOS,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,14680244.84,61452,2184437.66,2869,14683086.42,37660,3002515.56,9096,3672,164,3564,169
202310,3513108,CRAVINHOS,35,SÃO PAULO,SE,SUDESTE,98133225.43,448278,173283036.21,51895,120407362.89,284741,160299958.08,112234,19400,1896,19293,1781
202308,3525904,JUNDIAÍ,35,SÃO PAULO,SE,SUDESTE,1690459706.29,5469410,2522557947.22,641706,1758076626.69,3713372,2165897440.39,1658995,292709,28550,281262,26575
202504,2608701,LAGOA DOS GATOS,26,PERNAMBUCO,NE,NORDESTE,32907767.69,209069,3392781.57,3834,31265964.25,151413,3626794.47,20028,6715,149,6488,139
202401,5218300,POSSE,52,GOIÁS,CO,CENTRO-OESTE,133422151.23,637256,52605273.23,47912,125702673.21,387594,62856275.7,134402,22268,1554,22022,1435
202408,4306106,CRUZ ALTA,43,RIO GRANDE DO SUL,SU,SUL,243254447.95,1209674,251309385.21,89226,236698057.83,679034,316222089.6,231203,38684,3094,37676,3010
202501,4124020,SANTA TEREZA DO OESTE,41,PARANÁ,SU,SUL,37078565.13,216918,81611686.3,22851,36981624.64,110582,81988086.07,48261,7531,768,7354,730
