AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202505,4319307,SÃO PAULO DAS MISSÕES,43,RIO GRANDE DO SUL,SU,SUL,13147427.82,56126,4323162.38,3135,12854679.27,29774,3807894.06,9652,2735,212,2647,212
202104,2300101,ABAIARA,23,CEARÁ,NE,NORDESTE,1003955.95,3453,432096.96,93,951028.69,3801,143656.78,41,616,11,776,11
202105,2111722,SATUBINHA,21,MARANHÃO,NE,NORDESTE,1705547.67,5716,62092.39,80,1600682.55,5549,210274.2,211,782,15,829,16
202112,2510105,NOVA FLORESTA,25,PARAÍBA,NE,NORDESTE,6802509.69,31496,704160.47,859,6857401.39,31576,828116.34,2265,2455,68,2693,69
202306,3112208,CAPELA NOVA,31,MINAS GERAIS,SE,SUDESTE,5031237.44,18628,833600.75,896,4764024.29,13716,1334394.32,3436,1401,63,1354,70
202212,2300101,ABAIARA,23,CEARÁ,NE,NORDESTE,9857854.17,51522,741710.5,1994,9359589.47,47270,830106.22,7052,2906,53,2975,53
202404,2308302,MILAGRES,23,CEARÁ,NE,NORDESTE,52743714.76,419013,10018502.3,6871,48628700.94,267614,10474379.92,32398,13323,285,13106,264
202304,2606507,IATI,26,PERNAMBUCO,NE,NORDESTE,24383067.61,115124,3495173.64,1769,23217625.7,82279,2813745.3,8434,6017,102,6066,96
202101,4211850,OURO VERDE,42,SANTA CATARINA,SU,SUL,293517.72,288,213458.01,22,219342.42,232,45967.76,26,94,8,88,13
202412,3522208,ITAPECERICA DA SERRA,35,SÃO PAULO,SE,SUDESTE,731318153.23,4433971,354705407.4,242464,766977880.8,2693485,334882315.5,682346,118253,6684,119024,6320
202401,2503902,CAMALAÚ,25,PARAÍBA,NE,NORDESTE,10658176.82,73673,1306116.01,1867,10028914.04,46839,1064511.7,8927,2629,80,2610,72
202406,3549508,SÃO JOSÉ DA BELA VISTA,35,SÃO PAULO,SE,SUDESTE,21398719.26,169734,12087470.69,5920,21137800.16,96662,10369556.14,23225,4671,206,4579,186
202012,1505403,OURÉM,15,PARÁ,NO,NORTE,1369762.26,3733,763978.27,94,1306904.89,3548,446241.99,58,955,13,792,18
202209,1502954,ELDORADO DO CARAJÁS,15,PARÁ,NO,NORTE,68920505.98,248271,35548757.68,14020,67351820.69,195882,32082842.12,44229,12156,372,12229,368
202311,2503902,CAMALAÚ,25,PARAÍBA,NE,NORDESTE,10429060.51,65151,1178923.62,1867,10659076.34,44604,1089372.87,7837,2599,69,2538,64
202411,2704906,MAR VERMELHO,27,ALAGOAS,NE,NORDESTE,9635717.28,56662,736210.47,1555,9155667.96,41840,614635.29,4469,1897,48,1856,44
202101,4104105,CAMPO DO TENENTE,41,PARANÁ,SU,SUL,1325603.33,1651,1011411.13,318,1531121.72,1634,582600.53,259,424,47,477,54
202501,4104105,CAMPO DO TENENTE,41,PARANÁ,SU,SUL,21262791.91,162141,17299645.53,9651,24519608.8,76758,13057275.64,22169,4537,295,4463,295
202101,3156601,RUBIM,31,MINAS GERAIS,SE,SUDESTE,887288.95,2362,114818.31,126,1008861.61,2576,22252.5,37,530,15,649,15
202302,2308302,MILAGRES,23,CEARÁ,NE,NORDESTE,28908753.37,177158,5163187.94,3446,28205279.42,138227,4993957.38,12138,10246,220,10314,215
202403,3532009,MORUNGABA,35,SÃO PAULO,SE,SUDESTE,44773787.87,226388,27953727.34,15357,47320733.47,129178,30760020.15,33552,8470,630,8367,602
202410,4211850,OURO VERDE,42,SANTA CATARINA,SU,SUL,8692369.62,20503,1576039.95,1346,7831916.46,9735,1783810.28,3262,1033,72,969,60
202203,2905305,CAFARNAUM,29,BAHIA,NE,NORDESTE,12710031.7,51785,2655476.42,2372,13679949.31,47679,2514504.42,4929,4161,154,4233,147
202412,4314308,PEJUÇARA,43,RIO GRANDE DO SUL,SU,SUL,20615345.52,55315,6493967.26,3019,17611376.51,24566,9890197.32,9370,2203,178,2021,182
